no,title,date,attach_local,attach_orig
134,2nd Construction VE·LCC Committee Meeting for 2016,2016/05/04,160428.jpg,160428.jpg
133,2nd Board Meeting for 2016,2016/05/04,160421.jpg,160421.jpg
132,2nd Construction Informatization Committee Meeting for 2016,2016/05/04,160419.jpg,160419.jpg
131,"MOU signing between KICEM, CMAK and KACEM",2016/04/29,160407.jpg,160407.jpg
130,2nd Research Committee Meeting for 2016,2016/04/29,160405.JPG,160405.JPG
129,2016 The 19th CMAK General Meeting,2016/03/23,,
128,ConsMa 2016,2016/03/23,160314.jpg,160314.jpg
127,Release of Myanmar CM Supply Project Research Final Report,2016/03/17,,
126,The 1st Board Meeting for 2016,2016/03/17,160225.JPG,160225.JPG
125,"Meeting for 2016 Central defense facilities, military facilities",2016/03/17,160223.jpg,160223.jpg
124,Appointment of Chairmen and Administrators for Committees,2016/03/17,committee.jpg,committee.jpg
123,Construction Management Professional (CMP) Conference,2016/03/17,160127.jpg,160127.jpg
122,The 1st Korea-Myanmar Construction Industry Collaboration Committee,2016/03/17,,
121,2016 CM Performance Evaluation Public Announcement,2015/12/24,151222.jpg,151222.jpg
120,The 7th [Diagnosis of Issues in CM Categories] Presentation,2015/12/24,151217.jpg,151217.jpg
119,The 11th CM Practitioners&quot; Night,2015/12/15,151210.jpg,151210.jpg
118,The 10th CM Slogan Competition,2015/12/08,,
117,The 4th Board Meeting for 2015,2015/12/08,151123.JPG,151123.JPG
116,Presentations on Changing Trends in Recent Construction Industry,2015/12/08,151119.jpg,151119.jpg
115,Korea - Myanmar CM Conference,2015/11/18,151112.jpg,151112.jpg
114,CM Supply to Indonesia,2015/11/04,151029.jpg,151029.jpg
113,The 2nd Construction VE·LCC Committee Meeting for 2015,2015/11/04,151022.jpg,151022.jpg
112,National Assembly CM Forum Policy Seminar,2015/10/20,151006.jpg,151006.jpg
111,CM Education in Busan,2015/09/24,150918.jpg,150918.jpg
110,2015 Official Construction Management (CM) Performance Evaluation Results,2015/09/24,,
109,Publication of the Outcomes of the 2nd Year of CM Implementation in Cambodia,2015/09/24,,
108,The 3rd Board Meeting for 2015,2015/09/24,150818.JPG,150818.JPG
107,"Successful Hosting of ‘The 2nd Korea-Cambodia CM Conference""",2015/09/24,150723.jpg,150723.jpg
